,Country,CountryID,Continent,Adolescent fertility rate (%),Adult literacy rate (%),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (%),Net primary school enrolment ratio male (%),Population (in thousands) total
0,Afghanistan,1,1,151.0,28.0,,,,26088.0
1,Albania,2,2,27.0,98.7,6000.0,93.0,94.0,3172.0
2,Algeria,3,3,6.0,69.9,5940.0,94.0,96.0,33351.0
3,Andorra,4,2,,,,83.0,83.0,74.0
4,Angola,5,3,146.0,67.4,3890.0,49.0,51.0,16557.0
5,Antigua and Barbuda,6,4,,,15130.0,,,84.0
6,Argentina,7,5,62.0,97.2,11670.0,98.0,99.0,39134.0
7,Armenia,8,2,30.0,99.4,4950.0,84.0,80.0,3010.0
8,Australia,9,6,16.0,,33940.0,97.0,96.0,20530.0
9,Austria,10,2,14.0,,36040.0,98.0,97.0,8327.0
10,Azerbaijan,11,2,31.0,98.8,5430.0,83.0,86.0,8406.0
11,Bahamas,12,4,46.0,,,89.0,87.0,327.0
12,Bahrain,13,1,14.0,86.5,34310.0,98.0,98.0,739.0
13,Bangladesh,14,7,135.0,47.5,1230.0,90.0,87.0,155991.0
14,Barbados,15,4,51.0,,15150.0,96.0,97.0,293.0
15,Belarus,16,2,22.0,99.6,9700.0,88.0,90.0,9742.0
16,Belgium,17,2,5.0,,33860.0,97.0,97.0,10430.0
17,Belize,18,5,90.0,70.3,7080.0,97.0,97.0,282.0
18,Benin,19,3,108.0,34.7,1250.0,73.0,87.0,8760.0
19,Bermuda,20,4,,,,,,
20,Bhutan,21,7,62.0,,4000.0,79.0,79.0,649.0
21,Bolivia,22,5,97.0,86.7,3810.0,95.0,94.0,9354.0
22,Bosnia and Herzegovina,23,2,25.0,96.7,6780.0,,,3926.0
23,Botswana,24,3,51.0,81.2,11730.0,85.0,83.0,1858.0
24,Brazil,25,5,71.0,88.6,8700.0,95.0,93.0,189323.0
25,Brunei Darussalam,26,6,31.0,92.7,49900.0,94.0,94.0,382.0
26,Bulgaria,27,2,40.0,98.2,10270.0,92.0,93.0,7693.0
27,Burkina Faso,28,3,131.0,23.6,1130.0,42.0,52.0,14359.0
28,Burundi,29,3,30.0,59.3,320.0,73.0,76.0,8173.0
29,Cambodia,30,7,52.0,73.6,1550.0,89.0,91.0,14197.0
30,Cameroon,31,3,141.0,67.9,2060.0,65.0,74.0,18175.0
31,Canada,32,4,14.0,,36280.0,100.0,99.0,32577.0
32,Cape Verde,33,1,104.0,81.2,2590.0,87.0,88.0,519.0
33,Central African Republic,34,3,157.0,48.6,690.0,38.0,53.0,4265.0
34,Chad,35,3,193.0,25.7,1170.0,49.0,71.0,10468.0
35,Chile,36,5,49.0,95.7,11300.0,89.0,90.0,16465.0
36,China,37,7,3.0,90.9,4660.0,96.0,100.0,1328474.0
37,Colombia,38,5,92.0,92.8,6130.0,88.0,89.0,45558.0
38,Comoros,39,3,66.0,,1140.0,50.0,60.0,818.0
39,"Congo, Dem. Rep.",40,3,125.0,67.2,270.0,47.0,60.0,
40,"Congo, Rep.",41,3,132.0,84.4,2420.0,52.0,58.0,
41,Cook Islands,42,6,,,,75.0,73.0,14.0
42,Costa Rica,43,5,77.0,94.9,9220.0,88.0,87.0,4399.0
43,Cote d'Ivoire,44,3,132.0,48.7,1580.0,49.0,61.0,18914.0
44,Croatia,45,2,14.0,98.1,13850.0,90.0,91.0,4556.0
45,Cuba,46,5,47.0,99.8,,97.0,96.0,11267.0
46,Cyprus,47,2,5.0,96.8,25060.0,99.0,99.0,846.0
47,Czech Republic,48,2,11.0,,20920.0,94.0,91.0,10189.0
48,Denmark,49,2,6.0,,36190.0,96.0,95.0,5430.0
49,Djibouti,50,1,27.0,,2180.0,34.0,42.0,819.0
50,Dominica,51,5,,,7870.0,79.0,75.0,68.0
51,Dominican Republic,52,5,118.0,87.0,5550.0,78.0,76.0,9615.0
52,Ecuador,53,5,100.0,91.0,6810.0,97.0,96.0,13202.0
53,Egypt,54,1,48.0,71.4,4940.0,94.0,98.0,74166.0
54,El Salvador,55,5,104.0,74.1,5610.0,94.0,94.0,6762.0
55,Equatorial Guinea,56,3,128.0,87.0,16620.0,83.0,91.0,496.0
56,Eritrea,57,3,85.0,,680.0,43.0,50.0,4692.0
57,Estonia,58,2,21.0,99.8,18090.0,94.0,95.0,1340.0
58,Ethiopia,59,3,109.0,35.9,630.0,68.0,74.0,81021.0
