stationName,stationLatitude,stationLongitude,station_no,addr1,addr2,x,y
188. 홍은동 정원여중 입구,37.58638763,126.9351273,188, 홍은2동, 서대문구,59,127
191. 서우빌딩,37.57889175,126.9107361,191, 북가좌2동, 서대문구,59,127
192. 연서어린이공원,37.57222748,126.9230652,192, 연희동, 서대문구,59,127
194. 증산교 앞,37.57731628,126.9029694,194, 북가좌1동, 서대문구,59,127
195. 모래내고가차도 ,37.56765747,126.9178085,195, 연희동, 서대문구,59,127
196. 연희교차로 인근,37.56612015,126.9258957,196, 연희동, 서대문구,59,127
198. 충정2교,37.5621376,126.9637756,198, 충현동, 서대문구,60,127
199. 서울 월드컵 경기장,37.56684494,126.8964462,199, 성산2동, 마포구,58,127
200. 국회의원회관,37.52841568,126.9139175,200, 여의동, 영등포구,59,126
201. 진미파라곤 앞,37.53123856,126.9213333,201, 여의동, 영등포구,59,126
202. 국민일보 앞,37.52881622,126.92453,202, 여의동, 영등포구,59,126
203. 국회의사당역 3번출구 옆,37.5280571,126.9187012,203, 여의동, 영등포구,59,126
204. 국회의사당역 5번출구 옆,37.52816391,126.9170227,204, 여의동, 영등포구,59,126
205. 산업은행 앞,37.52626419,126.9205093,205, 여의동, 영등포구,59,126
206. KBS 앞,37.52466583,126.9180222,206, 여의동, 영등포구,59,126
207. 여의나루역 1번출구 앞,37.52715683,126.9319,207, 여의동, 영등포구,59,126
209. 유진투자증권빌딩 앞,37.52461243,126.9278336,209, 여의동, 영등포구,59,126
213. KT앞,37.52190781,126.9189529,213, 여의동, 영등포구,59,126
214. 금융감독원 앞,37.5230217,126.9208374,214, 여의동, 영등포구,59,126
215. 여의도고교 앞,37.52483749,126.934906,215, 여의동, 영등포구,59,126
217. NH농협은행 앞,37.52207947,126.9303665,217, 여의동, 영등포구,59,126
219. 롯데캐슬엠파이어 옆,37.52069473,126.9258347,219, 여의동, 영등포구,59,126
220. 미성아파트 A동 앞,37.5193634,126.9260483,220, 여의동, 영등포구,59,126
221. 여의도초교 앞,37.52267456,126.9377899,221, 여의동, 영등포구,59,126
222. 시범아파트버스정류장 옆,37.51902008,126.9368897,222, 여의동, 영등포구,59,126
223. 진주아파트상가 앞,37.51913071,126.9333725,223, 여의동, 영등포구,59,126
224. 롯데캐슬 앞,37.5200882,126.9323654,224, 여의동, 영등포구,59,126
225. 앙카라공원 앞,37.51758575,126.9296188,225, 여의동, 영등포구,59,126
226. 샛강역 1번출구 앞,37.51776505,126.9284134,226, 여의동, 영등포구,59,126
227. 양평2나들목 보행통로 입구,37.54466629,126.8883591,227, 양평2동, 영등포구,58,126
228. 선유도역 3번출구 앞,37.53845978,126.8945084,228, 양평2동, 영등포구,58,126
229. 양평1 보행육교 앞,37.53587341,126.8921814,229, 양평2동, 영등포구,58,126
230. 영등포구청역 1번출구,37.52463531,126.8962174,230, 당산1동, 영등포구,58,126
231. 남부고용노동지청 남측,37.52450562,126.8918228,231, 양평1동, 영등포구,58,126
232. 양평우림 이비즈센타 앞,37.52565002,126.8878174,232, 양평1동, 영등포구,58,126
233. 양평1동 YP센터 앞,37.52848816,126.8916473,233, 양평1동, 영등포구,58,126
235. 신길동 우리은행 옆,37.50456619,126.9102325,235, 신길3동, 영등포구,59,125
236. 문래동자이아파트 앞,37.51615524,126.8946152,236, 문래동, 영등포구,58,126
237. 보라매 두산위브 건너편,37.49651337,126.9148026,237, 신대방2동, 동작구,59,125
238. 제2구민체육센타 앞,37.52638626,126.9027557,238, 당산1동, 영등포구,59,126
239. 유스호스텔 앞,37.5258522,126.9032822,239, 영등포동, 영등포구,59,126
240. 문래역 4번출구 앞,37.51873779,126.8955765,240, 문래동, 영등포구,58,126
241. 신길우성1차아파트 앞 공원,37.50501633,126.8985367,241, 도림동, 영등포구,58,125
242. 신길선원가와인아파트 앞,37.51093292,126.9102249,242, 도림동, 영등포구,59,125
243. 이앤씨드림타워 앞,37.52708435,126.8913803,243, 양평1동, 영등포구,58,126
244. 영등포삼환아파트 앞,37.53007889,126.9057083,244, 영등포동, 영등포구,59,126
245. 삼성생명 당산사옥 앞,37.52826309,126.8966293,245, 당산2동, 영등포구,58,126
247. 당산역 10번출구 앞,37.53342056,126.9022369,247, 당산2동, 영등포구,59,126
248. 초원아파트 앞,37.53105545,126.9242096,248, 여의동, 영등포구,59,126
249. 여의도중학교 옆,37.52434921,126.9361191,249,여의동, 영등포구,59,126
250. 대림아파트 사거리,37.50764084,126.9230804,250, 신길7동, 영등포구,59,125
251. 서울지방병무청 버스정류장,37.50449371,126.9219513,251, 신길7동, 영등포구,59,125
252. 보라매역4번출구,37.49982834,126.9199448,252, 신길6동, 영등포구,59,125
254. 도림신협 앞,37.50380325,126.9034195,254, 신길5동, 영등포구,59,125
255. 도림사거리,37.50657272,126.9011307,255, 신길3동, 영등포구,59,125
256. 동아에코빌입구,37.50947571,126.8992996,256, 도림동, 영등포구,58,125
258. 신길역3번출구,37.51769257,126.914299,258, 영등포동, 영등포구,59,126
259. 대방역6번출구,37.51359177,126.9259338,259, 신길7동, 영등포구,59,126
262. 영문초등학교 사거리,37.51992798,126.889183,262, 문래동, 영등포구,58,126
263. 근로자회관 사거리,37.51715088,126.8886261,263, 문래동, 영등포구,58,126
264. 교보생명보험 앞,37.52193069,126.8916168,264, 당산1동, 영등포구,58,126
265. 영등포유통상가 사거리,37.52113342,126.8965378,265, 당산1동, 영등포구,58,126
266. 영등포청과시장 사거리,37.52029419,126.9011917,266, 영등포동, 영등포구,58,126
267. 삼성화재 사옥 옆,37.53596115,126.8983002,267, 양평2동, 영등포구,58,126
268. 그랜드컨벤션센터 앞,37.53471756,126.9000015,268, 당산2동, 영등포구,58,126
270. 증권거래소후문교차로,37.52234268,126.9271011,270, 여의동, 영등포구,59,126
271. 샛강생태공원방문자센터 앞,37.51896286,126.9216156,271, 여의동, 영등포구,59,126
272. 당산육갑문,37.53533936,126.9036789,272, 당산2동, 영등포구,59,126
275. 신동아아파트,37.52269745,126.8856812,275, 양평1동, 영등포구,58,126
276. 영등포로터리2,37.51828384,126.9126358,276, 영등포동, 영등포구,59,126
278. 쌍용플레티넘오피스텔,37.50793076,126.8952332,278, 도림동, 영등포구,58,125
279. 영등포 푸르지오 아파트 B,37.51322937,126.9044647,279, 영등포본동, 영등포구,59,126
280. 양평동6차현대아파트 앞,37.53210068,126.8944397,280, 양평2동, 영등포구,58,126
281. 대림신동아아파트 앞,37.49824142,126.8939819,281, 대림3동, 영등포구,58,125
282. 신한은행 대림동지점,37.48752975,126.9048767,282, 대림2동, 영등포구,59,125
283. 아크로타워 스퀘어(영등포시장),37.52251816,126.9072189,283, 영등포동, 영등포구,59,126
284. 센트럴 푸르지오 시티 앞,37.51821136,126.9022293,284, 영등포동, 영등포구,59,126
285. 콤텍시스템 앞,37.49985886,126.8972397,285, 대림3동, 영등포구,58,125
286. 우성아파트 교차로,37.49457169,126.8997498,286, 대림2동, 영등포구,58,125
287. 영등포전화국사거리 (서강어린이공원),37.52576828,126.9057388,287, 영등포동, 영등포구,59,126
288. 쌍용예가(구청별관),37.52809906,126.8933868,288, 양평1동, 영등포구,58,126
289. 대림3동사거리,37.49980927,126.8980026,289, 대림3동, 영등포구,58,125
290. 새말소공원,37.5315094,126.8978272,290, 당산2동, 영등포구,58,126
291. 문래동 하이테크 시티,37.51412964,126.8993912,291, 문래동, 영등포구,58,126
292. 영일 어린이공원,37.51012039,126.904068,292, 도림동, 영등포구,59,125
293. 충북 미래관,37.52917099,126.9075775,293, 당산2동, 영등포구,59,126
295.영등포공원 분수대 앞,37.51481247,126.911705,295, 영등포본동, 영등포구,59,126
296.KT플라자 영등포점,37.52630234,126.9053803,296, 영등포동, 영등포구,59,126
298.KBS 연구동 건너편,37.52750778,126.914299,298, 여의동, 영등포구,59,126
299.여의도 순복음교회,37.53179169,126.9224548,299, 여의동, 영등포구,59,126
300. 정동사거리,37.56805038,126.9692307,300, 소공동, 중구,60,127
301. 경복궁역 7번출구 앞,37.57579422,126.9714508,301, 사직동, 종로구,60,127
302. 경복궁역 4번출구 뒤,37.57594681,126.9740601,302, 사직동, 종로구,60,127
303. 광화문역 1번출구 앞,37.57176971,126.9746628,303, 사직동, 종로구,60,127
305. 종로구청 옆,37.57255936,126.9783325,305, 종로1·2·3·4가동, 종로구,60,127
308. 광화문 S타워 앞,37.56996918,126.973938,308, 사직동, 종로구,60,127
309. 광화문역 6번출구 옆 B,37.56996155,126.9761581,309, 사직동, 종로구,60,127
310. 청계광장 옆,37.56887817,126.9774704,310, 명동, 중구,60,127
314. 국립현대미술관,37.5797081,126.9808579,314, 삼청동, 종로구,60,127
316. 종각역 1번출구 앞,37.57039642,126.9817886,316, 창신2동, 종로구,60,127
318. 광교사거리 남측,37.56863403,126.9823151,318, 명동, 중구,60,127
320. 을지로입구역 4번출구 앞,37.56622314,126.9835892,320, 명동, 중구,60,127
321. KEB 하나금융그룹 명동사옥 옆,37.56546402,126.9841385,321, 명동, 중구,60,127
322. 명동성당 앞,37.56447601,126.986969,322, 명동, 중구,60,127
326. 안국역 5번출구 앞,37.57624054,126.9861603,326, 창신2동, 종로구,60,127
327. 낙원상가 옆,37.57335663,126.9874649,327, 창신2동, 종로구,60,127
328. 탑골공원 앞,37.57039642,126.9881897,328, 창신2동, 종로구,60,127
329. 청계2가 사거리 옆,37.56848526,126.9878845,329, 창신2동, 종로구,60,127
331. 을지로2가 사거리 북측,37.56638336,126.9872055,331, 명동, 중구,60,127
332. 을지로2가 사거리 남측,37.56599045,126.987793,332, 명동, 중구,60,127
334. 종로3가역 2번출구 뒤,37.5705986,126.9917908,334, 창신2동, 종로구,60,127
335. 종로3가역 15번출구 앞,37.57019424,126.9916534,335, 창신2동, 종로구,60,127
336. 충무로역 6번출구 앞,37.56144714,126.9931107,336, 필동, 중구,60,127
337. 창경궁 입구,37.57897949,126.9964752,337, 이화동, 종로구,60,127
338. 세운스퀘어 앞,37.57095718,126.9971237,338, 종로1·2·3·4가동, 종로구,60,127
339. 종로4가 사거리,37.57106781,126.9981918,339, 종로1·2·3·4가동, 종로구,60,127
340. 혜화동 로터리,37.58562851,127.000679,340, 혜화동, 종로구,60,127
341. 혜화역 3번출구 뒤,37.58156967,127.0017853,341, 이화동, 종로구,60,127
342. 대학로 마로니에공원,37.57978439,127.002533,342, 이화동, 종로구,60,127
343. 힐스테이트창경궁 아파트 앞,37.57561111,127.0046997,343, 종로5·6가동, 종로구,60,127
344. 성균관대 E하우스 앞,37.57419968,127.0065918,344, 종로5·6가동, 종로구,60,127
345. 서울보증보험본사 앞,37.57330704,127.0007095,345, 종로5·6가동, 종로구,60,127
346. 맥스타일 앞,37.56918335,127.0098801,346, 광희동, 중구,60,127
347. 동대문역사문화공원역 9번출구 앞,37.56533051,127.007843,347, 광희동, 중구,60,127
348. 독립문역 사거리,37.57202911,126.9607849,348, 교남동, 종로구,60,127
349. 어린이도서관,37.57633209,126.9685898,349, 사직동, 종로구,60,127
351. 청운초교 앞 삼거리,37.58496857,126.9704132,351, 청운효자동, 종로구,60,127
353. 재동초교 앞 삼거리,37.57938766,126.9849472,353, 가회동, 종로구,60,127
354. 포르투갈 대사관 앞,37.57915497,126.9889603,354, 가회동, 종로구,60,127
355. 서울사대부설초등학교 앞,37.57650757,127.0024567,355, 이화동, 종로구,60,127
356. KT혜화지사 앞,37.57714462,127.0020599,356, 이화동, 종로구,60,127
358. 성균관대입구 사거리 A,37.58250046,126.9985352,358, 혜화동, 종로구,60,127
359. 원남동사거리,37.57606125,126.9976807,359, 종로1·2·3·4가동, 종로구,60,127
361. 동묘앞역 1번출구 뒤,37.57324219,127.0159073,361, 숭인1동, 종로구,60,127
362. 청계8가사거리 A,37.57219696,127.0230408,362, 숭인2동, 종로구,61,127
363. 신설동역 11번출구 뒤,37.57559204,127.02285,363, 숭인2동, 종로구,61,127
364. 창신역 1번출구 앞,37.57933426,127.0150833,364, 숭인1동, 종로구,60,127
367. 독립문역 3-1번출구 ,37.57415771,126.958519,367, 무악동, 종로구,59,127
368. SK 서린빌딩 앞,37.5692482,126.9805374,368, 종로1·2·3·4가동, 종로구,60,127
370. 시청역(2호선) 9번출구 뒤,37.56322861,126.9748383,370, 소공동, 중구,60,127
371. 동대입구역 6번출구 뒤,37.55887222,127.0055389,371, 장충동, 중구,60,127
372. 약수역 3번출구 뒤,37.55429459,127.0112,372, 약수동, 중구,60,126
374. 청구역 2번출구 앞,37.5604744,127.0140762,374, 동화동, 중구,60,127
379. 서울역9번출구,37.55599976,126.9733582,379, 회현동, 중구,60,126
380. CJ제일제당 앞,37.56386566,127.0027466,380, 광희동, 중구,60,127
381. 장충체육관,37.55853271,127.0069885,381, 장충동, 중구,60,127
382. 약수역 10번출구 앞,37.55519867,127.0100479,382, 다산동, 중구,60,126
383. 신당역 12번 출구 뒤,37.5658493,127.0164032,383, 신당동, 중구,60,127
384. 종로학원본원 ,37.55978012,126.9685059,384, 중림동, 중구,60,127
385. 종각역 5번출구,37.56983566,126.9826584,385, 창신2동, 종로구,60,127
387. 훈련원공원주차장 앞,37.56699371,127.0034638,387, 을지로동, 중구,60,127
388. 동성중학교 앞,37.58573532,127.0016098,388, 혜화동, 종로구,60,127
389. 을지로4가역 1번출구,37.5667305,126.9966049,389, 을지로동, 중구,60,127
390. 충무로역 1번출구,37.56138992,126.9953537,390, 필동, 중구,60,127
391. 시립미술관,37.56505203,126.9734039,391, 소공동, 중구,60,127
393. 동대문역 8번 출구,37.57014084,127.0093765,393, 종로5·6가동, 종로구,60,127
394. 경희궁 자이 3단지,37.56748962,126.9659195,394, 교남동, 종로구,60,127
395. 경희궁 자이 2단지,37.56885529,126.9645615,395, 교남동, 종로구,60,127
397. 종묘공영주차장 건너편,37.57048035,126.9966354,397, 종로1·2·3·4가동, 종로구,60,127
398. 을지로3가역 3번출구,37.56655884,126.9924393,398, 을지로동, 중구,60,127
399. 서울역 센트럴 자이아파트,37.55410767,126.9654083,399, 중림동, 중구,60,126
400. 상암한화오벨리스크 1차 앞,37.58752441,126.8830032,400, 상암동, 마포구,58,127
401. 상암월드컵파크 10단지 앞,37.58618927,126.8816147,401, 상암동, 마포구,58,127
402. 상암월드컵파크 9단지 앞,37.5829277,126.879837,402, 상암동, 마포구,58,127
403. 부엉이공원 앞,37.58559036,126.8847275,403, 상암동, 마포구,58,127
405. DMC빌 앞,37.58265686,126.885788,405, 상암동, 마포구,58,127
406. 상암월드컵파크 7단지 앞,37.58111191,126.8808746,406, 상암동, 마포구,58,127
407. 마포구 육아종합지원센터,37.58063126,126.8836746,407, 상암동, 마포구,58,127
408. LG CNS앞,37.58081055,126.8866501,408, 상암동, 마포구,58,127
409. 누리꿈스퀘어 옆,37.57939911,126.8891602,409, 상암동, 마포구,58,127
410. 상암중학교 옆,37.57739258,126.8874741,410, 상암동, 마포구,58,127
411. DMC홍보관,37.5779953,126.8914719,411, 상암동, 마포구,58,127
412. DMC산학협력연구센터 앞,37.57565689,126.8907929,412, 상암동, 마포구,58,127
413. 상암월드컵파크 3단지 후문,37.57147598,126.8896866,413, 상암동, 마포구,58,127
414. 상암동주민센터 옆,37.57822037,126.8944702,414, 상암동, 마포구,58,127
415. DMC역 9번출구 앞,37.57746887,126.8973618,415, 상암동, 마포구,58,127
416. 상암월드컵파크 1단지 교차로,37.57566452,126.8944473,416, 상암동, 마포구,58,127
417. DMC역 2번출구 옆,37.57506943,126.8999176,417, 상암동, 마포구,58,127
418. 월드컵경기장역 3번출구 옆,37.57048035,126.8988953,418, 성산2동, 마포구,58,127
419. 홈플러스 마포점 앞,37.56842041,126.8994293,419, 성산2동, 마포구,58,127
420. 서울시 공공자전거 상암센터,37.56624603,126.8961792,420, 성산2동, 마포구,58,127
421. 마포구청 앞,37.56574631,126.9018631,421, 성산2동, 마포구,59,127
422. 문화비축기지,37.56897736,126.8944016,422, 성산2동, 마포구,58,127
424. 롯데하이마트 (상암월드컵점),37.57361984,126.8980484,424, 상암동, 마포구,58,127
425. DMC첨단산업센터,37.58450317,126.8855972,425, 상암동, 마포구,58,127
426. 서울신용보증재단,37.54906082,126.9541779,426, 아현동, 마포구,59,126
427. 성산시영아파트,37.56958389,126.9038162,427, 성산2동, 마포구,59,127
