(526.0, 128.0)
(524.0, 130.0)
(462.0, 167.0)
(464.0, 169.0)
(556.0, 169.0)
(576.0, 183.0)
(574.0, 185.0)
(412.0, 202.0)
(430.0, 218.0)
(432.0, 220.0)
(320.0, 257.0)
(652.0, 257.0)
(318.0, 259.0)
(432.0, 347.0)
(430.0, 349.0)
(414.0, 362.0)
(574.0, 362.0)
(576.0, 364.0)
(556.0, 382.0)
(558.0, 384.0)
(574.0, 401.0)
(478.8000183105469, 151.20001220703125)
(519.6000366210938, 411.6000061035156)
(438.0000305175781, 400.8000183105469)
(451.20001220703125, 175.20001220703125)
(690.0, 256.8000183105469)
(488.4000244140625, 175.20001220703125)
(577.2000122070312, 397.20001220703125)
(542.4000244140625, 188.40000915527344)
(561.6000366210938, 175.20001220703125)
(450.0000305175781, 177.60000610351562)
(445.20001220703125, 207.60000610351562)
(428.4000244140625, 193.20001220703125)
(579.6000366210938, 396.0000305175781)
(582.0, 393.6000061035156)
(586.800048828125, 390.0000305175781)
(460.8000183105469, 390.0000305175781)
(400.8000183105469, 207.60000610351562)
(405.6000061035156, 350.4000244140625)
(564.0, 177.60000610351562)
(490.8000183105469, 141.60000610351562)
(564.0, 204.00001525878906)
(394.8000183105469, 338.4000244140625)
(402.0000305175781, 349.20001220703125)
(468.0000305175781, 193.20001220703125)
(544.800048828125, 190.8000030517578)
(532.800048828125, 150.0)
(472.8000183105469, 188.40000915527344)
(536.4000244140625, 151.20001220703125)
(554.4000244140625, 384.0)
(537.6000366210938, 153.60000610351562)
(324.0, 260.4000244140625)
(470.4000244140625, 190.8000030517578)
(432.0000305175781, 188.40000915527344)
(615.6000366210938, 338.4000244140625)
(470.4000244140625, 159.60000610351562)
(428.4000244140625, 343.20001220703125)
(506.4000244140625, 159.60000610351562)
(540.0, 186.0)
(544.800048828125, 159.60000610351562)
(426.0000305175781, 340.8000183105469)
(517.2000122070312, 166.8000030517578)
(504.0000305175781, 162.0)
(483.6000061035156, 147.60000610351562)
(546.0, 162.0)
(558.0, 170.40000915527344)
(501.6000061035156, 163.20001220703125)
(481.20001220703125, 150.0)
(561.6000366210938, 375.6000061035156)
(600.0, 228.00001525878906)
(499.20001220703125, 165.60000610351562)
(564.0, 373.20001220703125)
(514.800048828125, 165.60000610351562)
(591.6000366210938, 196.8000030517578)
(604.800048828125, 231.60000610351562)
(326.4000244140625, 262.8000183105469)
(390.0000305175781, 241.20001220703125)
(387.6000061035156, 243.60000610351562)
(495.6000061035156, 169.20001220703125)
(423.6000061035156, 196.8000030517578)
(589.2000122070312, 194.40000915527344)
(328.8000183105469, 264.0)
(465.6000061035156, 194.40000915527344)
(618.0, 212.40000915527344)
(441.6000061035156, 212.40000915527344)
(426.0000305175781, 194.40000915527344)
(490.8000183105469, 172.8000030517578)
(546.0, 193.20001220703125)
(616.800048828125, 210.00001525878906)
(332.4000244140625, 266.4000244140625)
(442.8000183105469, 210.00001525878906)
(559.2000122070312, 172.8000030517578)
(572.4000244140625, 210.00001525878906)
(597.6000366210938, 375.6000061035156)
(488.4000244140625, 144.0)
(519.6000366210938, 169.20001220703125)
(542.4000244140625, 157.20001220703125)
(688.800048828125, 259.20001220703125)
(408.0000305175781, 352.8000183105469)
(390.0000305175781, 214.8000030517578)
(486.0000305175781, 146.40000915527344)
(536.4000244140625, 183.60000610351562)
(477.6000061035156, 184.8000030517578)
(326.4000244140625, 241.20001220703125)
(486.0000305175781, 177.60000610351562)
(472.8000183105469, 157.20001220703125)
(398.4000244140625, 210.00001525878906)
(597.6000366210938, 225.60000610351562)
(429.6000061035156, 345.6000061035156)
(651.6000366210938, 229.20001220703125)
(483.6000061035156, 178.8000030517578)
(489.6000061035156, 410.4000244140625)
(394.5600280761719, 338.4000244140625)
(332.6400146484375, 266.4000244140625)
(531.3600463867188, 178.5600128173828)
(488.1600341796875, 293.760009765625)
(639.3600463867188, 316.8000183105469)
(439.20001220703125, 398.8800048828125)
(460.8000183105469, 390.2400207519531)
(547.2000122070312, 390.2400207519531)
(430.5600280761719, 230.40000915527344)
(525.6000366210938, 131.04000854492188)
(531.3600463867188, 148.32000732421875)
(580.3200073242188, 230.40000915527344)
(519.8400268554688, 410.4000244140625)
(489.6000061035156, 319.6800231933594)
(336.96002197265625, 414.72003173828125)
(675.3600463867188, 414.72003173828125)
(452.1600036621094, 174.24000549316406)
(519.8400268554688, 253.44000244140625)
(532.800048828125, 181.44000244140625)
(488.1600341796875, 253.44000244140625)
(336.96002197265625, 433.44000244140625)
(567.3600463867188, 178.5600128173828)
(316.8000183105469, 253.44000244140625)
(675.3600463867188, 433.44000244140625)
(561.6000366210938, 174.24000549316406)
(372.96002197265625, 295.20001220703125)
(456.4800109863281, 393.1200256347656)
(639.3600463867188, 295.20001220703125)
(698.4000244140625, 250.5600128173828)
(522.7200317382812, 128.16000366210938)
(426.2400207519531, 250.5600128173828)
(580.3200073242188, 250.5600128173828)
(430.5600280761719, 250.5600128173828)
(371.52001953125, 316.8000183105469)
(312.4800109863281, 250.5600128173828)
(527.0400390625, 177.12001037597656)
(564.4800415039062, 177.12001037597656)
(568.800048828125, 207.36001586914062)
(387.3600158691406, 243.36001586914062)
(440.6400146484375, 211.6800079345703)
(564.4800415039062, 372.96002197265625)
(460.8000183105469, 385.9200134277344)
(390.2400207519531, 240.48001098632812)
(527.0400390625, 145.44000244140625)
(571.6799926757812, 208.8000030517578)
